Rank,Country,Highest point,Elevation,Notes
Nepal,Mount Everest,"8,848m (29,029ft)"
China,Mount Everest,"8,848m (29,029ft)"
Pakistan,K2,"8,611m (28,251ft)"
India,Kangchenjunga,"8,586m (28,169ft)"
Bhutan,Gangkhar Puensum,"7,570m (24,836ft)"
Tajikistan,Ismoil Somoni Peak,"7,495m (24,590ft)"
Afghanistan,Noshaq,"7,492m (24,580ft)"
Kyrgyzstan,Jengish Chokusu,"7,439m (24,406ft)"
Kazakhstan,Khan Tengri,"7,010m (22,999ft)"
Argentina,Aconcagua,"6,960m (22,835ft)"
Chile,Ojos del Salado,"6,893m (22,615ft)"
Peru,Huascarán,"6,768m (22,205ft)"
Bolivia,Nevado Sajama,"6,542m (21,463ft)"
Ecuador,Mount Chimborazo,"6,267m (20,561ft)"
United States,Mount Denali,"6,194m (20,322ft)"
Canada,Mount Logan,"5,959m (19,551ft)"
Tanzania,Mount Kilimanjaro,"5,892m (19,331ft)"
Myanmar,Hkakabo Razi,"5,881m (19,295ft)"
Colombia,Pico Cristóbal Colón or Pico Simón Bolívar,"both 5,700m (18,701ft)"
Russia,Mount Elbrus,"5,642m (18,510ft)"
Mexico,Pico de Orizaba,"5,636m (18,491ft)"
Iran,Damavand,"5,610m (18,406ft)"
Kenya,Batian on Mount Kenya,"5,199m (17,057ft)"
Georgia,Mt'a Shkhara,"5,193m (17,037ft)"
Turkey,Mount Ararat,"5,137m (16,854ft)"
Democratic Republic of the Congo,Margherita Peak on Mount Stanley,"5,110m (16,765ft)"
Uganda,Margherita Peak on Mount Stanley,"5,110m (16,765ft)"
Venezuela,Pico Bolívar (La Columna),"4,981m (16,342ft)"
Indonesia,Mount Carstensz (Puncak Jaya),"4,884m (16,024ft)"
France,Mont Blanc,"4,810m (15,781ft)"
Italy,Monte Bianco,"4,810m (15,781ft)"
Uzbekistan,Khazret Sultan,"4,643m (15,233ft)"
Switzerland,Dufourspitze on Monte Rosa,"4,634m (15,203ft)"
Ethiopia,Ras Dejen,"4,550m (14,928ft)"
Rwanda,Mount Karisimbi,"4,519m (14,826ft)"
Papua New Guinea,Mount Wilhelm,"4,509m (14,793ft)"
Azerbaijan,Bazarduzu Dagi,"4,485m (14,715ft)"
Mongolia,Khüiten Peak (Huyten Orgil),"4,374m (14,350ft)"
Guatemala,Volcán Tajumulco,"4,220m (13,845ft)"
Morocco,Toubkal,"4,167m (13,671ft)"
Malaysia,Mount Kinabalu,"4,095m (13,435ft)"
Armenia,Mount Aragats,"4,090m (13,419ft)"
Cameroon,Fako on Mount Cameroon,"4,040m (13,255ft)"
Costa Rica,Cerro Chirripó,"3,820m (12,533ft)"
Austria,Großglockner,"3,798m (12,461ft)"
Japan,Mount Fuji,"3,776m (12,388ft)"
New Zealand,Aoraki/Mount Cook,"3,754m (12,316ft)"
Spain,Teide on Tenerife in the Canary Islands,"3,718m (12,198ft)"
Yemen,Jabal an Nabi Shu'ayb,"3,666m (12,028ft)"
Iraq,Cheekha Dar,"3,611m (11,847ft)"
Lesotho,Thabana Ntlenyana,"3,482m (11,424ft)"
Panama,Volcán Barú,"3,475m (11,401ft)"
South Africa,Mafadi,"3,450m (11,319ft)"
Chad,Emi Koussi,"3,445m (11,302ft)"
South Sudan,Kinyeti,"3,187m (10,456ft)"
Vietnam,Fan Si Pan,"3,143m (10,312ft)"
Turkmenistan,Aýrybaba,"3,139m (10,299ft)"
Dominican Republic,Pico Duarte,"3,098m (10,164ft)"
Lebanon,Qurnat as Sawda',"3,088m (10,131ft)"
Sudan,Deriba Caldera,"3,042m (9,980ft)"
Eritrea,Emba Soira,"3,018m (9,902ft)"
Equatorial Guinea,Pico Basile,"3,008m (9,869ft)"
Algeria,Mount Tahat,"3,003m (9,852ft)"
Malawi,Sapitwa (Mulanje Massif),"3,002m (9,849ft)"
Saudi Arabia,unclear (possibly Jabal Sawda),"c. 3,000m (9,843ft)"
Brazil,Pico da Neblina,"2,994m (9,823ft)"
Oman,Jabal Shams,"2,980m (9,777ft)"
East Timor,Pico do Ramelau (Mount Ramelau),"2,963m (9,721ft)"
Germany,Zugspitze,"2,962m (9,718ft)"
